index,first_message,结果截图,"参考答案
（可以贴周报内容，或图表）",logic,数据集,"查询/分析逻辑
（可以贴可视化查询链接）",自动化评测,业务,题目类型, 难度,召回字段,time,数据过合规,指定数据集ID,更新时间
338,2023年10月26日货架分60分以上的商家有多少？,, https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-EOVbYvOQ,1. 从`货架分2.0-用于运营BD商家经营动作`表中筛选出 `p_date` = '2023-10-26' AND `货架分总分` > 60 的商家数量（count(*)）,货架分2.0-用于运营BD商家经营动作, https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-EOVbYvOQ,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2051588,2023/11/10
339,2023年10月26日货架分60分以上的商家有多少？,,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&rid=5777409&sid=2051588,,货架分2.0-用于运营BD商家经营动作,https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&rid=5777409&sid=2051588,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2051588,2023/11/10
340,如果0分负分都算有效分，2023年10月26日有多少商家是有货架分的？,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6R7Oe,1. 从`货架分2.0-用于运营BD商家经营动作`表中筛选出`p_date` = '2023-10-26' AND `货架分总分` >= 0的商家数量（COUNT(DISTINCT `店铺ID`)）,货架分2.0-用于运营BD商家经营动作,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-rJW6R7Oe,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2051588,2023/11/10
341,认养一头牛旗舰店的10.25的GMV是多少,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-kLRv3ZLp,"1. 从`A组商家GMV数据天级明细`表中筛选出：`店铺名` = '认养一头牛旗舰店' AND `报表日期(支付日期)` = '2023-10-25' 的数据
2. 计算'支付订单金额_单位元(gmv)'的总和，得到总的GMV",A组商家GMV数据天级明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-kLRv3ZLp,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
342,认养一头牛旗舰店的最近7天的GMV趋势,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-N280Pb26,"1. 使用Line函数创建一个折线图，设置图表的宽度、高度和主题
2. 添加x轴数据，即df中的""p_date""列
3. 添加y轴数据，即df中的""gmv""列
4. 设置全局选项，包括标题和x轴标签的旋转角度
5. 保存并返回图表的路径
6. 输出认养一头牛旗舰店最近7天的GMV趋势",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-N280Pb26,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
343,小米的最近一个月的订单数是多少,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-xJexNROP,"1. 定义了一个时间段，从当前时间的前30天开始，到当前时间结束。
2. 从`商家粒度数据汇总表（运营B组）`表中筛选出 `主营四级类目【近60天，截止当前】` = '小米' 并且 `p_date` 在定义的时间段内的数据，计算`最近30天支付订单数`的总和，得到小米最近一个月的订单数。
3. 输出小米最近一个月的订单数和时间范围。",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-xJexNROP,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
344,商家类型有哪些,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-kLRv3ZLp,,商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-kLRv3ZLp,否,电商,指标查询与统计,简单,,2023/10/26 12:00,否,2038327,2023/11/10
345,在10月25日的所有行业中，哪个行业的GMV占比最高,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-xO1vzvJe,"1. 从`商家粒度数据汇总表（运营B组）`表中筛选出`p_date` = '2023-10-25'的数据，并按`商运通行业名称`进行分组，计算每个行业的`近1天支付GMV`总和。
2. 计算每个行业的GMV占总GMV的比例，得到新的列`gmv_ratio`。
3. 找出`gmv_ratio`最大的行业名称，即GMV占比最高的行业，并获取其占比值。
4. 输出在10月25日，GMV占比最高的行业名称及其占比。",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-xO1vzvJe,是,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2038327,2023/11/10
346,在10月25日的所有商家中，GMV排名Top3的商家是哪些,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182589776&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182589776&sid=2038327,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2038327,2023/11/10
347,在10月25日电商各行业的GMV是多少,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4074747310&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4074747310&sid=2038327,否,电商,指标查询与统计,简单,,2023/10/31 12:00,否,2038327,2023/11/10
348,商家各分型在10.25的GMV数值及占比,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182590297&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182590297&sid=2038327,否,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
349,最近90天动销的商家数是多少,,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182590674&sid=2038327,,商家粒度数据汇总表（运营B组）,https://data.bytedance.net/aeolus#/dataQuery?appId=555159&id=4182590674&sid=2038327,否,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
350,绑定服务商的商家数有多少,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-jLAQN5Le,"1. 从`商家粒度数据汇总表（运营B组）`表中筛选出 `是否绑定服务商(所有业绩绑定)` = 1 的数据，并计算其数量，即绑定服务商的商家数
2. 输出绑定服务商的商家数",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-jLAQN5Le,是,电商,指标查询与统计,简单,,2023/10/30 12:00,否,2038327,2023/11/10
351,最近1周云仓客服处理的平均工单数,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-VOQ3oW2p,"1. 定义获取时间范围的函数，获取最近一周的时间范围
2. 定义计算每天工单数的函数，从`云仓客服工单明细`表中筛选出`(创建)工单创建日期`在最近一周内的数据，并按`(创建)工单创建日期`分组，计算每天的工单数
3. 定义计算平均工单数的函数，计算最近一周的平均每日工单数
4. 定义绘制折线图的函数，使用pyecharts库绘制最近一周每日工单数的折线图
5. 调用上述函数，获取最近一周的时间范围，计算每天的工单数，计算平均工单数，绘制折线图，并保存图表
6. 输出最近一周云仓客服处理的平均工单数，每日工单数的折线图，以及时间范围",云仓客服工单明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-VOQ3oW2p,是,电商,指标查询与统计,简单,,2023/10/26 12:00,否,2106716,2023/11/10
352,"
最近一周的业务线为普通云仓的日客服工单数周同比趋势图",,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGQ04Lb,"1. 定义最近两周的时间范围
2. 从`云仓客服工单明细`表中筛选出 `业务线(赔付用)` = '普通云仓' AND `(创建)工单创建日期` >= '{time_period[0].format('YYYY-MM-DD')}' AND `(创建)工单创建日期` <= '{time_period[1].format('YYYY-MM-DD')}' 的数据，并按照`(创建)工单创建日期`进行分组，计算每日的工单数量
3. 计算周同比
4. 绘制趋势图
5. 输出最近一周的业务线为普通云仓的日客服工单数周同比趋势图",云仓客服工单明细,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-1JGQ04Lb,是,电商,可视化,简单,,2023/10/27 12:00,否,2106716,2023/11/10
353,商品价格力最高的10个商品信息，取最新分区的数据，其中分区字段是p_date,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-e2avM7Lo,"1. 从`商品价格力分析数据集`表中筛选出最新日期(`p_date`)的数据
2. 按照`新综合价格力`降序排序
3. 取前10条数据
4. 输出这10条数据的markdown格式表格",商品价格力分析数据集,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-e2avM7Lo,是,电商,指标查询与统计,简单,,2023/10/27 12:00,否,1556108,2023/11/10
359,未来一周，十大潜力最大的三级类目,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-5JNdPzLy,"1. 从`商家粒度数据汇总表（运营B组）`表中，按照`主营三级类目【近60天，截止当前】`进行分组，计算每个类目的`近30天预估结算GMV`总和
2. 按照`近30天预估结算GMV`总和降序排序，取前10个
3. 输出未来一周，十大潜力最大的三级类目",商家粒度数据汇总表（运营B组）,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-5JNdPzLy,是,电商,模糊指标查询与统计,简单,,2023/10/27 12:00,否,2038327,2023/11/10
310,最近3天逆向问题ccr在全部ccr中的占比,,"https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4157582443&sid=1270060

字段名称:
逆向问题ccr占比
表达式:
CAST(count(distinct case when [14日有效物流负向反馈-分类]='逆向问题' then order_id end) as Nullable(Int64))/ CAST(count(distinct case when [是否14日有效物流负向反馈]=1 then order_id end) as Nullable(Int64))
(个人字段)",,云仓商家物流CCR明细,"https://data.bytedance.net/aeolus/#/dataQuery?appId=555159&id=4157582443&sid=1270060

字段名称:
逆向问题ccr占比
表达式:
CAST(count(distinct case when [14日有效物流负向反馈-分类]='逆向问题' then order_id end) as Nullable(Int64))/ CAST(count(distinct case when [是否14日有效物流负向反馈]=1 then order_id end) as Nullable(Int64))
(个人字段)",否,电商,指标查询与统计,简单,,2023/10/23 12:00,否,1270060,2023/11/17
354,商品价格力最高的100个商品的商品类型分布，取最新分区的数据，其中分区字段是p_date,,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-dOBQ5aLw,,商品价格力分析数据集,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-dOBQ5aLw,否,电商,指标查询与统计,简单,,2023/11/15 12:00,否,1556108,2023/11/17
355,你的任务如下：第一步，过滤出商品价格大于10的所有商品；第二步，这些商品按照一级类目做统计；第三部，输出一级类目占比最高的10个类目。),,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-MLz56v2m,,商品价格力分析数据集,https://sophon-data-staging.bytedance.net/322/code-interpreter/sic-MLz56v2m,否,电商,指标查询与统计,中等,,2023/11/15 12:00,否,1556108,2023/11/17
41,最近7天小端的线索量多少了,,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922005533&sid=722567,1. 从`线索宽表指标明细`表筛选出：`来源类型` = '小端' 且 `统计日期`或`线索产生日期` 为最近7天，范围内的线索量(`COUNT(DISTINCT `associate_num`)`),线索宽表指标明细,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922005533&sid=722567,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,722567,2023/11/10
42,已到期经纪人包内人均房源认领量对比,,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&rid=5490896&sid=1684506,"1. 从`权益包明细`表筛选出：`是否已到期` = 1 AND `是否当月到期` = 1 的数据
2. 计算每个经纪人的平均房源认领量，方法是：求和`avg_claim_house_cnt`，然后除以`package_id`的唯一数量
3. 按`经纪人id`分组
4. 输出已到期且当月到期的经纪人包内人均房源认领量",权益包明细,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&rid=5490896&sid=1684506,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1684506,2023/11/10
43,描述一下最近小端线索率的趋势,,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3923211120&sid=1430465,1. 从`CPT城市DAU与线索`表中筛选出： `date` 在最近时间范围内的小端线索率(`sum((xd_clue_cnt))/sum((dau))`),CPT城市DAU与线索,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3923211120&sid=1430465,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1430465,2023/11/10
45,提升哪个城市的小端线索率对全国线索率的提升最有效,,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3922997263&sid=1430465,"1. 从`CPT城市DAU与线索`表中按照`城市名称`进行分组，计算每种城市类型的`小端dau`和`小端线索量`的总和。
2. 计算每种城市类型的小端线索率，即`小端线索量`除以`小端dau`。
3. 计算全体城市的总DAU。
4. 找出对全国线索率的提升最有效的城市。",CPT城市DAU与线索,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3922997263&sid=1430465,是,幸福里,综合分析,中等,,2023/9/25 12:00,否,1430465,2023/11/10
46,各大区的在职经纪人人数,,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922865402&sid=1576475,"
1. 在`经纪人核心指标(全量版_f项目)`表，筛选处 `是否离职` = 0，按`大区名称`分组，计算每个大区的经纪人人数(count(distinct [`经纪人id`]))",经纪人核心指标(全量版_f项目),https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922865402&sid=1576475,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1576475,2023/11/10
47,最近7天的不含抢客获电率怎么样,,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922731559&sid=722567,"1. 计算最近7天的开始时间和结束时间
2. 从 `线索宽表指标明细`筛选出 `统计日期`或`线索产生` >= '{开始时间}' AND `统计日期` <= '{结束时间}' 指标(`COUNT(DISTINCT `get_phone_rc_num`))/(COUNT(DISTINCT `rc_num`)`)",线索宽表指标明细,https://data.bytedance.net/aeolus#/dataQuery?appId=1370&id=3922731559&sid=722567,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,722567,2023/11/10
48,小端昨天的日活是多少,,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3958961528&sid=1430465,"
1. 从目标数据表`CPT城市DAU与线索`中获取数据
2.  筛选 `date`为昨天
3. 计算小端日活(`sum(`小端dau`)`）",CPT城市DAU与线索,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3958961528&sid=1430465,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1430465,2023/11/10
49,重点九城昨天的整体日活，新房日活，二手房日活，租房日活,,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3924280602&sid=1430465,"1. 从目标数据表：'CPT城市DAU与线索`
2. 筛选出 `是否重点9城` = 1 AND `date`为昨天的'小端dau'，'小端新房dau'，'小端二手房dau'，'小端租房dau'的总和，分别作为整体日活，新房日活，二手房日活，租房日活",CPT城市DAU与线索,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3924280602&sid=1430465,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1430465,2023/11/10
50,昨天直营城市的新房日活有多少,,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3924661042&sid=1430465,1. 在`CPT城市DAU与线索`表中筛选出：`是否是直营城市` = '直营' AND `date` 为昨天的小端新房日活（`sum(`小端新房dau`)`）数据,CPT城市DAU与线索,https://data.bytedance.net/aeolus/#/dataQuery?appId=1370&id=3924661042&sid=1430465,是,幸福里,指标查询与统计,简单,,2023/9/25 12:00,否,1430465,2023/11/10
